platform,number_of_qubits,memory_usage
qiskit,2,0.8183860778808594
qiskit,3,0.39656734466552734
qiskit,4,0.40937232971191406
qiskit,5,0.5265188217163086
qiskit,6,0.8932037353515625
qiskit,7,2.3423337936401367
qiskit,8,8.0560302734375
qiskit,9,30.842604637145996
qiskit,10,121.40851879119873
pennylane,2,0.16151142120361328
pennylane,3,0.22628211975097656
pennylane,4,0.40829944610595703
pennylane,5,0.7000923156738281
pennylane,6,0.8087120056152344
pennylane,7,1.6880769729614258
pennylane,8,6.208544731140137
pennylane,9,24.231159210205078
pennylane,10,96.26114177703857
cirq,2,0.23562908172607422
cirq,3,0.2757740020751953
cirq,4,0.2572059631347656
cirq,5,0.3284463882446289
cirq,6,0.637639045715332
cirq,7,1.932908058166504
cirq,8,6.21530818939209
cirq,9,23.83673858642578
cirq,10,94.3443193435669
qsimcirq,2,0.21910667419433594
qsimcirq,3,0.2779550552368164
qsimcirq,4,0.27021312713623047
qsimcirq,5,0.3245220184326172
qsimcirq,6,0.6297531127929688
qsimcirq,7,1.9408235549926758
qsimcirq,8,6.199192047119141
qsimcirq,9,23.82111358642578
qsimcirq,10,94.31957340240479
qulacs,2,0.004790306091308594
qulacs,3,0.005141258239746094
qulacs,4,0.008103370666503906
qulacs,5,0.019331932067871094
qulacs,6,0.0660696029663086
qulacs,7,0.26013851165771484
qulacs,8,1.0050878524780273
qulacs,9,4.005448341369629
qulacs,10,16.0054931640625
qibojit,2,0.3147716522216797
qibojit,3,0.5032358169555664
qibojit,4,0.6983041763305664
qibojit,5,0.91168212890625
qibojit,6,1.192622184753418
qibojit,7,2.2744970321655273
qibojit,8,7.055088043212891
qibojit,9,25.001802444458008
qibojit,10,97.1134147644043
